"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Projet_fin_d_etude\composer.json", "JSON", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 65
"c:\xampp\htdocs\Projet_fin_d_etude\composer.lock", "JSON", 0, 0, 0, 0, 0, 7950, 0, 0, 0, 1, 7951
"c:\xampp\htdocs\Projet_fin_d_etude\config\app.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 121, 32, 198
"c:\xampp\htdocs\Projet_fin_d_etude\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\xampp\htdocs\Projet_fin_d_etude\config\broadcasting.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 23, 13, 68
"c:\xampp\htdocs\Projet_fin_d_etude\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\Projet_fin_d_etude\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\Projet_fin_d_etude\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 45, 22, 150
"c:\xampp\htdocs\Projet_fin_d_etude\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\Projet_fin_d_etude\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\Projet_fin_d_etude\config\logging.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 34, 19, 120
"c:\xampp\htdocs\Projet_fin_d_etude\config\mail.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 47, 19, 118
"c:\xampp\htdocs\Projet_fin_d_etude\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\Projet_fin_d_etude\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\Projet_fin_d_etude\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
